Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Margin of Error!!AGE!!Under 5 years
"Kent County, Delaware",167626,6.7,0.2
"New Castle County, Delaware",546076,6.1,0.1
"Sussex County, Delaware",203390,5.7,0.1
