Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Margin of Error!!AGE!!Under 5 years
"Kent County, Delaware",173533,6.2,0.1
"New Castle County, Delaware",556779,6,0.1
"Sussex County, Delaware",215622,5.3,0.1
