License Number,County,Type of Child Care,City,State,Age Range,Capacity,Count
426780,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
427358,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
427752,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
428845,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,49,1
429546,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 12 years.,9,1
429567,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
431626,New Castle,Licensed Family Child Care,NEW CASTLE,DE,1 year through 12 years.,9,1
432493,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,50,1
432500,New Castle,Licensed Child Care Center,NEW CASTLE,DE,Kindergarten through 12 years.,80,1
433556,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 13 years.,585,1
433741,Sussex,Licensed Child Care Center,ELLENDALE,DE,6 weeks through 12 years.,60,1
434311,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,18 months through 5 years.,60,1
435015,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
436034,Sussex,Licensed Child Care Center,OCEAN VIEW,DE,6 weeks through 12 years.,51,1
436919,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 4 years.,9,1
442008,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
445245,New Castle,Licensed Large Family Child Care,TOWNSEND,DE,3 months through 12 years.,12,1
448495,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,9,1
450786,KENT,Licensed Family Child Care,HARRINGTON,DE,6 weeks through 12 years.,9,1
451847,New Castle,Licensed Family Child Care,BEAR,DE,2 years through 12 years.,9,1
453294,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,220,1
454625,New Castle,Licensed Large Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,12,1
454964,Sussex,Licensed Family Child Care,MILTON,DE,6 weeks through 12 years.,9,1
459354,New Castle,Licensed Family Child Care,NEW CASTLE,DE,3 years through 12 years.,9,1
461433,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
464097,Kent,Licensed Family Child Care,CAMDEN WYOMING,DE,6 weeks through 6 years.,9,1
466715,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 12 years.,9,1
472569,Sussex,Licensed Family Child Care,DELMAR,DE,6 weeks through 12 years.,9,1
477287,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 5 years.,9,1
477649,New Castle,Licensed Large Family Child Care,BEAR,DE,6 weeks through 12 years.,12,1
478167,New Castle,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,71,1
478499,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
478909,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
479514,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,6 weeks through 12 years.,132,1
481025,New Castle,Licensed Family Child Care,TOWNSEND,DE,6 weeks through 12 years.,9,1
487517,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,1 year through 5 years.,61,1
487552,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
487722,New Castle,Licensed Child Care Center,HOCKESSIN,DE,2 years through 5 years.,160,1
489521,Sussex,Licensed Family Child Care,MILLSBORO,DE,6 weeks through 12 years.,9,1
489654,New Castle,Licensed Child Care Center,NEWARK,DE,2 years through 5 years.,165,1
489694,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 13 years.,9,1
490816,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through Kindergarten.,67,1
491838,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 5 years.,97,1
491839,Sussex,Licensed Child Care Center,MILLSBORO,DE,6 weeks through 12 years.,132,1
493615,Kent,Licensed Family Child Care,FELTON,DE,6 months through 12 years.,9,1
494230,Sussex,Licensed Child Care Center,REHOBOTH BEACH,DE,2 years through 4 years.,59,1
495256,Sussex,Licensed Child Care Center,LEWES,DE,2 years through 5 years.,131,1
495819,Kent,Licensed Child Care Center,MILFORD,DE,3 years through 5 years.,80,1
496587,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through Kindergarten.,9,1
498512,New Castle,Licensed Child Care Center,NEWARK,DE,2 years through 10 years.,200,1
498644,SUSSEX,Licensed Family Child Care,MILLSBORO,DE,3 months through 12 years.,9,1
499331,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,230,1
499737,Sussex,Licensed Child Care Center,MILTON,DE,6 weeks through 12 years.,110,1
499981,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,346,1
500435,SUSSEX,Licensed Child Care Center,REHOBOTH BEACH,DE,Kindergarten through 11 years.,100,1
500436,SUSSEX,Licensed Child Care Center,LEWES,DE,Kindergarten through 11 years.,96,1
501714,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,152,1
503075,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 9 years.,9,1
505742,Kent,Licensed Child Care Center,CAMDEN,DE,2 years through 5 years.,36,1
507800,Sussex,Licensed Family Child Care,ELLENDALE,DE,5 years through 12 years.,9,1
510885,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 5 years.,60,1
512597,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,Kindergarten through 11 years.,50,1
515316,Sussex,Licensed Child Care Center,MILLSBORO,DE,Kindergarten through 12 years.,100,1
515318,Sussex,Licensed Child Care Center,LAUREL,DE,Kindergarten through 12 years.,138,1
516068,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,6 weeks through 12 years.,195,1
517127,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,45,1
519020,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
522396,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 5 years.,96,1
528359,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,50,1
528361,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,65,1
528362,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,45,1
528363,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,65,1
528580,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 1 year.,24,1
528754,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
529746,New Castle,Licensed Child Care Center,CLAYMONT,DE,Kindergarten through 12 years.,50,1
529747,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,53,1
531658,NEW CASTLE,Licensed Child Care Center,NEWARK,DE,6 weeks through 11 years.,321,1
532189,KENT,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
533115,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,150,1
533687,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
537426,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,Kindergarten through 12 years.,105,1
538382,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,2 years through 12 years.,57,1
538637,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,132,1
538816,New Castle,Licensed Child Care Center,NEWARK,DE,2 years through 5 years.,63,1
539344,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,6,1
540263,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 12 years.,9,1
540377,New Castle,Licensed Child Care Center,CLAYMONT,DE,1 year through 12 years.,153,1
547663,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 8 years.,9,1
550348,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 12 years.,60,1
552340,KENT,Licensed Child Care Center,SMYRNA,DE,Kindergarten through 12 years.,125,1
553918,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
554452,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 10 years.,75,1
556178,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,161,1
558306,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
558902,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,12,1
560851,Kent,Licensed Child Care Center,FREDERICA,DE,Kindergarten through 12 years.,118,1
562079,KENT,Licensed Child Care Center,DOVER,DE,5 years through 12 years.,50,1
562094,New Castle,Licensed Family Child Care,WILMINGTON,DE,3 months through 5 years.,9,1
564557,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,133,1
564685,Sussex,Licensed Child Care Center,REHOBOTH BEACH,DE,6 weeks through 12 years.,162,1
564819,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,144,1
565622,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
565865,NEW CASTLE,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 14 years.,9,1
565963,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,160,1
566024,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
567558,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,100,1
567713,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 2 years.,12,1
568212,NEW CASTLE,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,12,1
569449,Sussex,Licensed Large Family Child Care,LAUREL,DE,2 years through 12 years.,12,1
570535,New Castle,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,161,1
571662,Kent,Licensed Child Care Center,SMYRNA,DE,6 weeks through 12 years.,134,1
575960,Sussex,Licensed Child Care Center,GEORGETOWN,DE,5 years through 12 years.,110,1
576759,Sussex,Licensed Family Child Care,LEWES,DE,6 weeks through 10 years.,9,1
580177,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 12 years.,9,1
580472,Sussex,Licensed Child Care Center,DAGSBORO,DE,Kindergarten through 12 years.,212,1
580488,Kent,Licensed Child Care Center,SMYRNA,DE,6 years through 12 years.,153,1
580489,Kent,Licensed Child Care Center,CLAYTON,DE,Kindergarten through 13 years.,69,1
580491,Kent,Licensed Child Care Center,SMYRNA,DE,5 years through 12 years.,64,1
580492,SUSSEX,Licensed Child Care Center,SEAFORD,DE,Kindergarten through 12 years.,200,1
581828,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
584281,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,9,1
588695,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,80,1
590258,Sussex,Licensed Child Care Center,SEAFORD,DE,2 years through 5 years.,114,1
591174,Sussex,Licensed Child Care Center,GREENWOOD,DE,Kindergarten through 11 years.,75,1
592626,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
593956,Kent,Licensed Child Care Center,FELTON,DE,Kindergarten through 12 years.,100,1
594103,Sussex,Licensed Child Care Center,SEAFORD,DE,2 years through 5 years.,30,1
595763,Sussex,Licensed Family Child Care,MILLSBORO,DE,6 weeks through 5 years.,9,1
599276,NEW CASTLE,Licensed Child Care Center,BEAR,DE,2 years through 12 years.,46,1
600338,New Castle,Licensed Family Child Care,NEW CASTLE,DE,1 year through 5 years.,9,1
601329,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,180,1
606774,New Castle,Licensed Child Care Center,WILMINGTON,DE,5 years through 12 years.,30,1
612670,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,130,1
613656,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,195,1
618191,New Castle,Licensed Family Child Care,HOCKESSIN,DE,6 weeks through 12 years.,9,1
619227,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,146,1
621538,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 12 years.,100,1
623370,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 10 years.,56,1
625169,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,165,1
631348,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 12 years.,9,1
638013,Kent,Licensed Family Child Care,FELTON,DE,6 weeks through 13 years.,6,1
639905,Sussex,Licensed Large Family Child Care,SEAFORD,DE,1 year through 12 years.,12,1
641907,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,115,1
643739,New Castle,Licensed Child Care Center,HOCKESSIN,DE,Kindergarten through 12 years.,125,1
645371,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
646716,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,179,1
646934,Kent,Licensed Family Child Care,DOVER,DE,3 years through 8 years.,9,1
650451,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,94,1
651764,New Castle,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,43,1
654470,Kent,Licensed Child Care Center,DOVER,DE,Kindergarten through 12 years.,147,1
655261,New Castle,Licensed Child Care Center,WILMINGTON,DE,18 months through 5 years.,118,1
656870,Sussex,Licensed Family Child Care,LAUREL,DE,2 years through 5 years.,6,1
657735,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
657894,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
659950,NEW CASTLE,Licensed Large Family Child Care,NEW CASTLE,DE,6 weeks through 4 years.,12,1
662751,Kent,Licensed Child Care Center,CAMDEN,DE,6 weeks through 12 years.,75,1
665046,NEW CASTLE,Licensed Family Child Care,NEWARK,DE,2 years through 5 years.,9,1
665438,Kent,Licensed Large Family Child Care,SMYRNA,DE,3 years through 5 years.,12,1
666209,Sussex,Licensed Family Child Care,DELMAR,DE,6 weeks through 12 years.,9,1
666253,Sussex,Licensed Large Family Child Care,LAUREL,DE,6 weeks through 12 years.,12,1
669860,New Castle,Licensed Child Care Center,WILMINGTON,DE,2 years through 12 years.,25,1
670874,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
672760,Sussex,Licensed Child Care Center,LINCOLN,DE,6 weeks through 12 years.,71,1
673859,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,60,1
675932,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,Kindergarten through 12 years.,75,1
676525,Kent,Licensed Child Care Center,DOVER,DE,Kindergarten through 12 years.,151,1
680748,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
682016,New Castle,Licensed Child Care Center,NEWARK,DE,1 year through 12 years.,92,1
682887,New Castle,Licensed Family Child Care,WILMINGTON,DE,2 years through 12 years.,9,1
683243,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
685120,SUSSEX,Licensed Child Care Center,LEWES,DE,3 years through 5 years.,37,1
687275,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 12 years.,9,1
690019,New Castle,Licensed Child Care Center,NEW CASTLE,DE,Kindergarten through 12 years.,50,1
691820,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,6 weeks through 12 years.,155,1
691866,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
692969,New Castle,Licensed Child Care Center,BEAR,DE,6 years through 12 years.,76,1
692974,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,8,1
693125,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 12 years.,172,1
701248,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
702179,New Castle,Licensed Family Child Care,NEWARK,DE,6 months through 12 years.,9,1
702640,New Castle,Licensed Child Care Center,HOCKESSIN,DE,2 years through 12 years.,126,1
702879,New Castle,Licensed Child Care Center,NEW CASTLE,DE,3 years through 5 years.,15,1
703393,Kent,Licensed Family Child Care,CLAYTON,DE,6 weeks through 12 years.,9,1
703570,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,3 years through 12 years.,54,1
704779,Sussex,Licensed Large Family Child Care,LAUREL,DE,6 weeks through 12 years.,12,1
705319,NEW CASTLE,Licensed Family Child Care,BEAR,DE,8 weeks through 12 years.,9,1
705524,KENT,Licensed Family Child Care,DOVER,DE,6 months through 12 years.,6,1
705686,Sussex,Licensed Child Care Center,GEORGETOWN,DE,8 weeks through 12 years.,75,1
706579,New Castle,Licensed Child Care Center,NEWARK,DE,3 years through 12 years.,60,1
706857,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
708536,NEW CASTLE,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,35,1
709280,NEW CASTLE,Licensed Large Family Child Care,NEWARK,DE,6 weeks through 12 years.,12,1
718571,Sussex,Licensed Family Child Care,LINCOLN,DE,6 weeks through 8 years.,9,1
721964,Kent,Licensed Family Child Care,SMYRNA,DE,6 weeks through 12 years.,9,1
722508,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
723814,NEW CASTLE,Licensed Child Care Center,MIDDLETOWN,DE,6 weeks through 5 years.,165,1
725588,Sussex,Licensed Family Child Care,GREENWOOD,DE,6 months through 12 years.,9,1
729016,New Castle,Licensed Family Child Care,WILMINGTON,DE,5 years through 12 years.,6,1
731541,NEW CASTLE,Licensed Family Child Care,NEW CASTLE,DE,2 years through 5 years.,9,1
738359,New Castle,Licensed Child Care Center,NEWARK,DE,1 year through 5 years.,53,1
742950,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,240,1
743596,New Castle,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,208,1
744170,Kent,Licensed Child Care Center,CAMDEN WYOMING,DE,6 years through 12 years.,100,1
744172,Kent,Licensed Child Care Center,CAMDEN WYOMING,DE,6 years through 11 years.,141,1
744173,Kent,Licensed Child Care Center,DOVER,DE,6 years through 11 years.,81,1
744175,Kent,Licensed Child Care Center,DOVER,DE,6 years through 12 years.,65,1
745031,New Castle,Licensed Child Care Center,NEW CASTLE,DE,5 years through 12 years.,45,1
745033,NEW CASTLE,Licensed Child Care Center,NEW CASTLE,DE,Kindergarten through 12 years.,45,1
745034,New Castle,Licensed Child Care Center,BEAR,DE,Kindergarten through 12 years.,90,1
745737,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
751512,Kent,Licensed Large Family Child Care,DOVER,DE,6 weeks through 4 years.,12,1
752419,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,116,1
753795,New Castle,Licensed Child Care Center,WILMINGTON,DE,1 year through 12 years.,38,1
754472,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,40,1
756254,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
762783,NEW CASTLE,Licensed Child Care Center,BEAR,DE,6 weeks through 12 years.,154,1
772058,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,6,1
772192,Sussex,Licensed Child Care Center,MILLSBORO,DE,1 year through 5 years.,29,1
774193,Sussex,Licensed Family Child Care,LAUREL,DE,5 years through 14 years.,9,1
776741,Kent,Licensed Child Care Center,MILFORD,DE,6 weeks through 5 years.,70,1
776760,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,12,1
781347,New Castle,Licensed Child Care Center,NEWARK,DE,3 months through 11 years.,60,1
783370,New Castle,Licensed Large Family Child Care,NEWARK,DE,6 weeks through 12 years.,12,1
787277,Sussex,Licensed Child Care Center,MILFORD,DE,3 years through 12 years.,75,1
787572,NEW CASTLE,Licensed Family Child Care,NEWARK,DE,6 weeks through 5 years.,6,1
787716,Kent,Licensed Child Care Center,DOVER,DE,1 year through 12 years.,162,1
790686,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
792207,NEW CASTLE,Licensed Large Family Child Care,TOWNSEND,DE,2 years through 12 years.,12,1
796096,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,38,1
800850,NEW CASTLE,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,100,1
803059,New Castle,Licensed Child Care Center,TOWNSEND,DE,6 weeks through 12 years.,188,1
803290,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,103,1
804283,New Castle,Licensed Child Care Center,HOCKESSIN,DE,6 weeks through 12 years.,60,1
804386,Kent,Licensed Family Child Care,HARRINGTON,DE,6 weeks through 12 years.,9,1
810544,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 12 years.,9,1
811587,Sussex,Licensed Family Child Care,MILTON,DE,6 weeks through 12 years.,9,1
814899,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
816610,Kent,Licensed Child Care Center,SMYRNA,DE,18 months through 8 years.,60,1
817160,KENT,Licensed Child Care Center,DOVER,DE,6 weeks through 12 years.,40,1
823339,Kent,Licensed Family Child Care,DOVER,DE,3 months through 12 years.,9,1
823977,Kent,Licensed Child Care Center,CAMDEN,DE,6 weeks through 12 years.,97,1
829235,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,6,1
830615,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,142,1
835028,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
836809,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,12,1
838390,NEW CASTLE,Licensed Child Care Center,MIDDLETOWN,DE,6 weeks through 14 years.,84,1
839650,Kent,Licensed Child Care Center,SMYRNA,DE,Kindergarten through 12 years.,76,1
842373,NEW CASTLE,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,6,1
843586,Kent,Licensed Child Care Center,CAMDEN WYOMING,DE,6 weeks through 12 years.,47,1
843590,Sussex,Licensed Child Care Center,SELBYVILLE,DE,6 weeks through 12 years.,168,1
843603,Sussex,Licensed Child Care Center,REHOBOTH BEACH,DE,Kindergarten through 17 years.,180,1
847022,New Castle,Licensed Child Care Center,NEWPORT,DE,6 weeks through 12 years.,74,1
850098,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,166,1
851389,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,12,1
851437,Kent,Licensed Child Care Center,DOVER,DE,1 year through 5 years.,60,1
852085,New Castle,Licensed Child Care Center,NEWARK,DE,1 year through 5 years.,38,1
852090,New Castle,Licensed Child Care Center,NEW CASTLE,DE,Kindergarten through 12 years.,30,1
856187,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,197,1
856349,SUSSEX,Licensed Child Care Center,GEORGETOWN,DE,Kindergarten through 12 years.,28,1
856518,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 months through 12 years.,9,1
856583,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,8,1
859512,SUSSEX,Licensed Child Care Center,LEWES,DE,18 months through 5 years.,30,1
860191,New Castle,Licensed Child Care Center,MIDDLETOWN,DE,Kindergarten through 11 years.,60,1
861932,SUSSEX,Licensed Family Child Care,SEAFORD,DE,18 months through 12 years.,9,1
862488,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,6,1
866499,New Castle,Licensed Large Family Child Care,NEWARK,DE,6 weeks through 5 years.,12,1
868932,Sussex,Licensed Large Family Child Care,FRANKFORD,DE,2 years through 5 years.,12,1
870348,Sussex,Licensed Child Care Center,REHOBOTH BEACH,DE,6 weeks through 12 years.,89,1
872529,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,6,1
874259,Sussex,Licensed Child Care Center,LAUREL,DE,6 weeks through 12 years.,59,1
874621,NEW CASTLE,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,114,1
882584,New Castle,Licensed Child Care Center,CLAYMONT,DE,Kindergarten through 12 years.,234,1
883808,KENT,Licensed Child Care Center,MAGNOLIA,DE,5 years through 6 years.,93,1
886064,Kent,Licensed Family Child Care,FREDERICA,DE,6 weeks through 12 years.,6,1
887336,New Castle,Licensed Child Care Center,NEWARK,DE,6 weeks through 12 years.,101,1
892887,Kent,Licensed Child Care Center,SMYRNA,DE,6 years through 12 years.,92,1
893639,New Castle,Licensed Family Child Care,CLAYMONT,DE,6 weeks through 12 years.,9,1
894018,Kent,Licensed Large Family Child Care,DOVER,DE,6 weeks through 12 years.,12,1
896313,NEW CASTLE,Licensed Family Child Care,WILMINGTON,DE,3 months through 5 years.,6,1
900294,Sussex,Licensed Child Care Center,SELBYVILLE,DE,6 weeks through 12 years.,76,1
901105,NEW CASTLE,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
907023,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 12 years.,60,1
908124,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
910458,KENT,Licensed Family Child Care,MAGNOLIA,DE,6 weeks through 12 years.,9,1
912888,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 5 years.,39,1
914148,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,6,1
916267,Kent,Licensed Family Child Care,FELTON,DE,2 years through 12 years.,6,1
917964,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 5 years.,38,1
919420,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,274,1
922153,Kent,Licensed Family Child Care,CLAYTON,DE,6 weeks through 12 years.,9,1
923126,New Castle,Licensed Child Care Center,WILMINGTON,DE,Kindergarten through 8 years.,93,1
927168,New Castle,Licensed Child Care Center,WILMINGTON,DE,6 weeks through 12 years.,73,1
929039,New Castle,Licensed Child Care Center,NEW CASTLE,DE,6 weeks through 12 years.,95,1
933545,Kent,Licensed Family Child Care,MAGNOLIA,DE,1 year through 5 years.,6,1
933912,New Castle,Licensed Large Family Child Care,WILMINGTON,DE,6 weeks through 5 years.,12,1
939546,NEW CASTLE,Licensed Child Care Center,CLAYMONT,DE,6 weeks through 12 years.,144,1
944932,New Castle,Licensed Family Child Care,WILMINGTON,DE,1 year through 5 years.,6,1
946587,New Castle,Licensed Family Child Care,CLAYMONT,DE,5 years through 12 years.,9,1
958964,Kent,Licensed Child Care Center,DOVER,DE,1 year through 12 years.,60,1
962974,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,8,1
968125,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
973652,Sussex,Licensed Child Care Center,MILFORD,DE,6 weeks through 12 years.,63,1
975301,New Castle,Licensed Child Care Center,NEWARK,DE,Kindergarten through 12 years.,60,1
976072,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,1 year through 12 years.,9,1
977686,New Castle,Licensed Large Family Child Care,BEAR,DE,3 years through 5 years.,12,1
982376,Sussex,Licensed Child Care Center,LEWES,DE,6 weeks through 12 years.,50,1
996273,New Castle,Licensed Large Family Child Care,HOCKESSIN,DE,2 years through 5 years.,12,1
