License Number,County,Type of Child Care,City,State,Age Range,Capacity,Count
33723,Sussex,Licensed Family Child Care,SEAFORD,DE,2 years through 10 years.,9,1
33809,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
33903,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
34307,Kent,Licensed Family Child Care,HARTLY,DE,1 year through 12 years.,9,1
39980,New Castle,Licensed Family Child Care,SMYRNA,DE,1 year through 12 years.,9,1
41386,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
41858,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
41861,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 5 years.,9,1
43051,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
43374,Kent,Licensed Family Child Care,MAGNOLIA,DE,6 weeks through 12 years.,9,1
43406,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 14 years.,9,1
43717,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 weeks through 12 years.,9,1
43971,New Castle,Licensed Family Child Care,TOWNSEND,DE,6 weeks through 12 years.,9,1
45690,NEW CASTLE,Licensed Family Child Care,BEAR,DE,8 weeks through 8 years.,9,1
47425,New Castle,Licensed Family Child Care,HOCKESSIN,DE,6 weeks through 5 years.,9,1
47547,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
48731,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 5 years.,200,1
52420,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
52621,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 weeks through 12 years.,9,1
54931,New Castle,Licensed Family Child Care,NEW CASTLE,DE,6 months through 12 years.,9,1
56997,Kent,Licensed Family Child Care,CAMDEN WYOMING,DE,6 weeks through 12 years.,9,1
57274,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 5 years.,9,1
66778,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 10 years.,9,1
67720,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 7 years.,9,1
68104,Kent,Licensed Family Child Care,SMYRNA,DE,3 years through 12 years.,6,1
68171,KENT,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
68964,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 12 years.,9,1
69311,Sussex,Licensed Family Child Care,SEAFORD,DE,6 weeks through 12 years.,9,1
70512,New Castle,Licensed Family Child Care,WILMINGTON,DE,3 months through 12 years.,9,1
71297,Kent,Licensed Child Care Center,DOVER,DE,6 weeks through 10 years.,75,1
71698,New Castle,Licensed Family Child Care,NEWARK,DE,1 year through 12 years.,9,1
73016,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 months through 5 years.,9,1
73018,Sussex,Licensed Family Child Care,BRIDGEVILLE,DE,6 weeks through 13 years.,9,1
73144,New Castle,Licensed Child Care Center,NEW CASTLE,DE,2 years through 5 years.,348,1
74106,New Castle,Licensed Child Care Center,NEWARK,DE,2 years through Kindergarten.,30,1
74617,KENT,Licensed Family Child Care,FELTON,DE,8 weeks through 12 years.,9,1
74715,Kent,Licensed Family Child Care,DOVER,DE,6 weeks through 12 years.,9,1
75507,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,9,1
75942,New Castle,Licensed Family Child Care,BEAR,DE,3 months through 12 years.,9,1
75964,SUSSEX,Licensed Family Child Care,LAUREL,DE,6 weeks through 12 years.,6,1
77357,New Castle,Licensed Family Child Care,BEAR,DE,6 weeks through 12 years.,9,1
80624,New Castle,Licensed Family Child Care,BEAR,DE,8 weeks through 5 years.,9,1
82226,Sussex,Licensed Family Child Care,GEORGETOWN,DE,6 weeks through 12 years.,9,1
85449,Sussex,Licensed Family Child Care,MILLSBORO,DE,6 weeks through 12 years.,9,1
85860,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,3 months through 11 years.,9,1
87439,KENT,Licensed Child Care Center,DOVER,DE,6 weeks through 12 years.,142,1
87602,New Castle,Licensed Family Child Care,WILMINGTON,DE,6 weeks through 12 years.,6,1
87835,New Castle,Licensed Family Child Care,MIDDLETOWN,DE,6 weeks through 12 years.,9,1
88328,New Castle,Licensed Family Child Care,NEWARK,DE,6 weeks through 12 years.,9,1
