Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Margin of Error!!AGE!!Under 5 years
"Kent County, Delaware",171987,6.4,0.1
"New Castle County, Delaware",552778,6,0.1
"Sussex County, Delaware",210849,5.5,0.1
