Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Margin of Error!!AGE!!Under 5 years
"Kent County, Delaware",169416,6.5,0.1
"New Castle County, Delaware",549684,6.1,0.1
"Sussex County, Delaware",206649,5.6,0.2
